"","PREDDEG_factor","Control_factor","NPT4_COMBINE","DEP_STAT_PCT_IND","PAR_ED_PCT_1STGEN","MD_FAMINC","PCTPELL","PCTFLOAN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","APPL_SCH_PCT_GE2","MD_EARN_WNE_P6","MD_EARN_WNE_P10","RPY_3YR_RT_SUPP","CDR3"
"383400","Certificate-degree","Private Nonprofit",14962.5,0.6891891892,0.5076923077,38197.89407,0.5224,0.9403,21438,3166,0.5945945946,25000,65500,0.6481481481,0.085
"172015","Certificate-degree","Private For-profit",17023,0.7562152134,0.5383944154,14400.84351,0.6854,0.6033,9500,4750,0.3525046382,19300,20200,0.2288,0.257
"439570","Certificate-degree","Private For-profit",14236,0.7135164243,0.4908616188,16495.58829,0.6757,0.7145,10500,5371,0.3371028541,18500,22300,0.2843216897,0.17
"45538101","NotClassified","Private For-profit",14962.5,0.7027027027,0.4285714286,19337.40251,0.5266,0.6008,7667,5500,0.3783783784,25000,30600,0.6857142857,0.166
"444398","Bachelor's-degree","Private Nonprofit",12335,0.5652173913,0.5,20191.59533,0.4692,0.2038,14000,5500,0.4673913043,25000,30600,0.4088072088,0.315
"377342","Certificate-degree","Private For-profit",15941,0.9256198347,0.6208791209,13040.02588,0.8427,0.927,10500,4858,0.5867768595,19900,29200,0.4525139665,0.075
"242723","Graduate-degree","Private Nonprofit",14962.5,0.2514512679,0.3887363984,11542.37225,0.5266,0.6008,5500,4000,0.2550739819,15500,19000,0.3636941663,0.289
"149727","Certificate-degree","Public",5936,0.4762017523,0.5112651646,26808.09692,0.3075,0.1601,7000,3500,0.4447075539,26400,29200,0.4871382637,0.178
"129154","Associate's-degree","Private Nonprofit",19889,0.7441993698,0.544086774,28392.34443,0.552,0.8379,29413,8250,0.3970209109,32400,27500,0.345545977,0.085
"377193","Certificate-degree","Private For-profit",4062,0.6181818182,0.6285714286,8988.014573,0.5921,0.5789,7316,2662,0.4167031045,14400,18100,0.1176470588,0.2
"181640","Associate's-degree","Public",6768,0.4854996243,0.413099096,26116.8733,0.4248,0.6217,10979.5,3500,0.3362885049,29500,34900,0.533408324,0.131
