,PREDDEG_factor,Control_factor,NPT4_COMBINE,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN,MD_FAMINC,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,APPL_SCH_PCT_GE2,MD_EARN_WNE_P6,MD_EARN_WNE_P10,RPY_3YR_RT_SUPP,CDR3
157021,Associate's-degree,Private For-profit,16791,0.847853535,0.610073111,10300.52647,0.9019,0.7495,25798,7834,0.436868687,16300,20200,0.119579501,0.094
167260,Bachelor's-degree,Private Nonprofit,24882,0.140979689,0.379713914,61927.07167,0.3519,0.7307,27000,5702,0.769414576,35100,48400,0.669051878,0.145
218520,Associate's-degree,Public,7304,0.573475046,0.56171491,16674.87768,0.6396,0.3639,9750,4750,0.378234751,21700,24800,0.31667792,0.197
207403,Bachelor's-degree,Private Nonprofit,15234,0.152064451,0.287393162,50844.97716,0.338,0.5083,24500,6600,0.597180262,30900,35900,0.732110092,0.11
406200,Certificate-degree,Private Nonprofit,11899,0.843530592,0.579495268,5815.340261,0.8131,0.8242,14750,5730,0.331795386,14900,17100,0.098690365,0.173
226903,Certificate-degree,Private For-profit,23484,0.680066308,0.684931507,13043.45673,0.7418,0.5991,8565,3357,0.256527145,16400,19800,0.183333333,0.29
203739,Associate's-degree,Private For-profit,16565,0.80546875,0.655273438,13146.59939,0.8924,0.9611,12579.5,5367,0.35546875,19600,22400,0.209726444,0.263
474960,Bachelor's-degree,Private For-profit,17968,0.917823663,0.539931756,16576.05959,0.7628,0.7555,29213,5500,0.393902916,33400,51100,0.26380794,0.26
136066,Certificate-degree,Private For-profit,26178,0.606525912,0.486215539,16780.08582,0.8067,0.8161,16500,8110,0.289827255,22000,30300,0.237988325,0.313
187994,Associate's-degree,Public,3849,0.39645188,0.47925124,22101.05047,0.5199,0.3953,17125,5500,0.336427981,24300,32800,0.50589756,0.185
152497,Certificate-degree,Private Nonprofit,27989,0.604166667,0.443181818,36581.47316,0.4758,0.8468,31250,6700,0.510416667,42000,48200,0.590551181,0.062
226231,Bachelor's-degree,Private Nonprofit,20458,0.585476551,0.366972477,44542.32444,0.4469,0.7352,29062.5,10208.5,0.552950076,39500,48300,0.589639411,0.093
236328,Bachelor's-degree,Private Nonprofit,31698,0.162991371,0.157480315,74174.87754,0.2198,0.5725,22263,7500,0.802492809,34800,49400,0.867737948,0.029
455479,Certificate-degree,Private For-profit,12109,0.70777304,0.533705624,14186.94352,0.6271,0.7167,9500,3957.5,0.439160381,16300,20400,0.23,0.106
245421,Associate's-degree,Private For-profit,10879,0.778097983,0.592198582,15748.80273,0.8681,0.956,11087,3666,0.350144092,18400,20100,0.267964072,0.264
179539,Associate's-degree,Public,6915,0.535573641,0.533454988,21797.77931,0.5719,0.4291,9766.5,4500,0.369388291,23300,28900,0.423337856,0.239
439279,Bachelor's-degree,Private For-profit,19942,0.917823663,0.539931756,16576.05959,0.7165,0.7468,29213,5500,0.393902916,33400,51100,0.26380794,0.26
240189,Bachelor's-degree,Public,12678,0.122952477,0.329226113,70552.22647,0.2923,0.6487,23299,7500,0.434175935,33200,41400,0.733379027,0.069
383190,Associate's-degree,Public,7606,0.562980769,0.500280426,12060.06105,0.4884,0.132,9000,4750,0.315384615,20100,28400,0.360406091,0.293
145831,Certificate-degree,Public,7042,0.458810069,0.557354926,21706.72396,0.3522,0.1086,8379.5,4000,0.276887872,24000,28500,0.515486726,0.135
239390,Bachelor's-degree,Private Nonprofit,13455,0.425287356,0.416856492,34324.61092,0.4764,0.7047,27997.5,9500,0.620689655,33100,38800,0.579037801,0.084
441919,Certificate-degree,Private For-profit,14179,0.78848353,0.533618923,13186.93475,0.943,0.9002,17886.5,5945.5,0.417684164,20100,25300,0.14371517,0.282
190770,Bachelor's-degree,Private Nonprofit,22169,0.19009901,0.407002188,47527.09545,0.2874,0.532,22250,9500,0.594059406,30600,41700,0.554878049,0.086
146667,Bachelor's-degree,Private Nonprofit,13438,0.484615385,0.359773371,41646.1269,0.5682,0.727,21390,5500,0.48974359,25600,27900,0.660326087,0.078
163921,Bachelor's-degree,Private Nonprofit,18108,0.905393457,0.587768969,22508.65849,0.8231,0.7699,32025,9500,0.484526967,28400,33200,0.199238579,0.163
208248,Certificate-degree,Private For-profit,4874,0.622857143,0.54109589,10649.69089,0.4372,0.5302,12212,3500,0.565714286,19900,18400,0.268456376,0.25
129020,Bachelor's-degree,Public,17910,0.130655586,0.264770777,74015.72048,0.2103,0.5165,20766,8750,0.707640813,42400,54000,0.82604833,0.031
235495,Certificate-degree,Private For-profit,14191,0.916666667,0.49137931,9828.825817,0.8564,0.896,9500,4750,0.435897436,24700,28200,0.325581395,0.296
129695,Associate's-degree,Public,4115,0.417048055,0.512056738,22591.21131,0.3567,0.0221,4000,2246,0.483409611,25800,33200,0.711538462,0.096
163028,Certificate-degree,Private For-profit,25155,0.510291595,0.548832272,27560.82406,0.5259,0.6131,12866,4950,0.197255575,29900,35400,0.291249165,0.299
133979,Bachelor's-degree,Private Nonprofit,15477,0.191959799,0.526445265,20993.81036,0.9303,0.8878,41575,14250,0.764824121,20200,26200,0.142717498,0.243
150668,Bachelor's-degree,Private Nonprofit,19360,0.29468599,0.293193717,58774.69768,0.3225,0.729,19500,6700,0.562801932,30900,37800,0.838709677,0.044
459648,Associate's-degree,Private For-profit,20440,0.765962788,0.52367531,17679.94098,0.8519,0.8889,18772,6334,0.297031896,29300,38800,0.261568373,0.286
219976,Bachelor's-degree,Private Nonprofit,20597,0.331781915,0.26216968,49514.88643,0.2972,0.5918,22125,6251,0.551196809,32200,38000,0.707259953,0.055
439525,Certificate-degree,Private For-profit,15050,0.731818182,0.458259325,18026.0572,0.6138,0.639,9500,3950,0.416666667,24700,26800,0.417824074,0.132
